address,account_type,raw_bfr_wei,Raw BFR,raw_esbfr_wei,Raw esBFR,fsblp_wei,fsBLP Reward,vester1_wei,Vester 1,vester2_wei,Vester 2,staking_wei,Staking,camelot_wei,Camelot,total_wei,Total
0x00409fC839a2Ec2e6d12305423d37Cd011279C09,eoa,1740464017151517681,1.740464017151517681,0,0,14871904425198581,0.014871904425198581,0,0,0,0,19155735938001817524,19.155735938001817524,0,0,20911071859578533786,20.911071859578533786
0x00482A63F8E7708EB212BD9F7cd15E4cf8B68618,eoa,1000000742073531229,1.000000742073531229,0,0,0,0,0,0,0,0,11331350021693236025,11.331350021693236025,0,0,12331350763766767254,12.331350763766767254
0x004ec46100f32E7f7bF159E4DC97201DdF042924,eoa,337532536468308642034710,337532.53646830864203471,0,0,0,0,0,0,0,0,4024784945820535295144,4024.784945820535295144,0,0,341557321414129177329854,341557.321414129177329854
0x00517b07DB18A4210276398fe3fab14Dc60F495C,eoa,0,0,0,0,0,0,0,0,0,0,148911567732424341613,148.911567732424341613,0,0,148911567732424341613,148.911567732424341613
0x005C3d681436c798c0749249De8113F588A3E058,eoa,946532135056123304599,946.532135056123304599,0,0,0,0,0,0,0,0,0,0,0,0,946532135056123304599,946.532135056123304599
0x005E1ECFaFe45d0887428B8f6C5DB978EC72296A,eoa,0,0,354992170821717977178,354.992170821717977178,0,0,0,0,0,0,608428896021348982324,608.428896021348982324,0,0,963421066843066959502,963.421066843066959502
0x0060ddf1997E7C756E8FD427a02d62fFc5d32f2B,eoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0065058668B350BEe2763d43d14FF293d916b106,eoa,0,0,0,0,0,0,0,0,0,0,261798379311621914870,261.79837931162191487,0,0,261798379311621914870,261.79837931162191487
0x00652c0Df251243E53f2048abe668d5A2b2DAC34,eoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00655ce8bfe13ce64bed6c2ffd476a4a5615932C,eoa,0,0,4333381926821404341,4.333381926821404341,53563003667128,0.000053563003667128,0,0,0,0,0,0,0,0,4333435489825071469,4.333435489825071469
0x006c77e68d2cE85db549BAC376b4C7283A332447,eoa,0,0,0,0,0,0,0,0,0,0,15684195204298497563,15.684195204298497563,0,0,15684195204298497563,15.684195204298497563
0x006EdC26CD63185F4B9b4C675386763cac57B0d8,eoa,0,0,230746195663780756567,230.746195663780756567,0,0,0,0,0,0,177935107043542551242,177.935107043542551242,0,0,408681302707323307809,408.681302707323307809
0x00700052c0608F670705380a4900e0a8080010CC,contract,8682287394412706418,8.682287394412706418,0,0,0,0,0,0,0,0,0,0,0,0,8682287394412706418,8.682287394412706418
0x00701A48e1967192c981774C691d0f40E878c86d,contract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
