queriedAccount,timeMs,isoTime,hash,type,token,amount,usdcValue,fromAddress,toAddress,fee,nonce,sourceDex,destinationDex
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739298858494,2025-02-11T18:34:18.494Z,0x0e4520212096c614ff57041d94165e02014500b29ae57605e6cf4d4b88998e75,spotTransfer,USDC,198.9814556,198.981455,0xef814cd7b627abffcc1ba7d53a2be7c6de79cf1d,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739299078605,2025-02-11T18:37:58.605Z,0xe104e2af49e70ac36f13041d9420be020124008b5f2c1e3ca95d31af62a6c3b7,spotTransfer,USDC,1413.222964,1413.222964,0x6f721d0a8abdb5dbbdab3c05efa81371c0d21d68,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739299142716,2025-02-11T18:39:02.716Z,0xd023c79a7f5ba81f98cb041d9423be01eb00ed053ff31b1b34ce5b3cae7e111f,spotTransfer,USDC,0.02,0.02,0x52be86e343dbb35077bfd17a41c146ffa8156688,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739299489432,2025-02-11T18:44:49.432Z,0xefdd146d408362c53c65041d94346801570073c61813f97f9b9e808839942e08,spotTransfer,USDC,0.01,0.01,0x52be86e343dbb35077bfd17a41c146ffa8156688,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739300318123,2025-02-11T18:58:38.123Z,0x4f9d692109a5eaa8cb60041d945c1401bb0057b9ba63d6a056db02087703a70c,spotTransfer,USDC,9.90741448,9.907414,0x712bf4bfd01f0a7dc4493a60df1c4b583e5218d8,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739302820395,2025-02-11T19:40:20.395Z,0x51a2baf4df9e3ea63b5a041d94d1aa01c9000949a0482a19d987833af42df1f2,spotTransfer,USDC,293.61364386,293.613643,0xcff501d840cfc644ae2b5071195005581e5a83f8,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739308322180,2025-02-11T21:12:02.180Z,0x15bbdbabb40b5fa9884f041d95d80501b0005cb1a0aeb0c2b5a011395ba0e575,spotTransfer,USDC,79.23,79.23,0x712bf4bfd01f0a7dc4493a60df1c4b583e5218d8,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739308356901,2025-02-11T21:12:36.901Z,0xa66f84d9fffa6c844a63041d95d9b7017d00b8bcc6c031401e365b7be19d3bfc,spotTransfer,USDC,38.25435006,38.25435,0x749f90c2f42f7184a018ce3743c413bfe4f316ac,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739308632425,2025-02-11T21:17:12.425Z,0x42bc474d548068db2e96041d95e746018600db59a1065ac79ba7de1a127146e8,spotTransfer,USDC,200.0,200.0,0x03f612c078ef7d66620c89082ec8972c5f65ba1b,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739319257105,2025-02-12T00:14:17.105Z,0xd4ae91a7cb52d9e8adc2041d97d55b0177009cda170db68add5626b362025387,spotTransfer,USDC,100.0,100.0,0x56f42ff810100ecca42fa5505f8a406fb2df5b2c,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739319273893,2025-02-12T00:14:33.893Z,0xd3dc8580db14b628c5f5041d97d612016300097b979a5e6b4f78ce5454f3530b,spotTransfer,USDC,35.0,35.0,0x56f42ff810100ecca42fa5505f8a406fb2df5b2c,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739319358540,2025-02-12T00:15:58.540Z,0x2b02bac1e9ae1724831a041d97da580183007b112dfd02243d4f5d4dc3958a4c,spotTransfer,USDC,2.0,2.0,0x56f42ff810100ecca42fa5505f8a406fb2df5b2c,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739324546961,2025-02-12T01:42:26.961Z,0x1654de953e880f2138af041d98d1c60174003c32ed2450566d6754e34a38b98d,spotTransfer,USDC,98.28,98.28,0x792fe5340e949009ffc5e78c106f65b5c6ba9f3d,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739337703055,2025-02-12T05:21:43.055Z,0xcce3c8d467e7a25c39fa041d9af9fd02030700cd07e216e7952033ccfee6f34c,spotTransfer,USDC,14.0,14.0,0xecd13493be81d0c1f1e400deef91a6a58d5f866a,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739344107801,2025-02-12T07:08:27.801Z,0x18e7d0f58bcb1fcf5dfc041d9c078f01ae002e2201cef7aefc66cacf23525610,spotTransfer,USDC,122.0,122.0,0x43b3336180b3512acc831cb8d8a4c69a989fb9a7,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739344838223,2025-02-12T07:20:38.223Z,0x4d1c79410f6021496382041d9c262801ef0025def028fa9580396ec3c55aff51,spotTransfer,USDC,1500.0,1500.0,0x38116e4ba2297c23210be176687d3fb58a55bc01,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739350554498,2025-02-12T08:55:54.498Z,0xc93baac7a249058327a9041d9d16df018b00a7e89c0ee32917b199184370f8c6,spotTransfer,USDC,99.0,99.0,0xf169444cc46ea00484b0b76fb50a23363ef865cb,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1.0,,,
